whatever product, 1
Sharoon Bloom, 1
the US, 230
Economy Outlook, 1
a stutter, 1
the paper, 2
the statement, 8
Russian convoy, 1
Ukraine cities, 6
this war, 144
the sacrifices, 3
The world, 65
President Buhari, 5
5.000 Nigerians, 1
a result, 24
all this, 13
Russian forces, 76
a stroll, 1
the park, 2
all frontsEveryone, 1
eastern Europe, 2
Black residents, 1
horrendous racism, 1
the land, 12
his tryna, 1
the Ministries, 1
External Affairs, 2
Civil Aviation, 1
foreign leaders, 1
their people, 13
the World, 19
those towns, 1
eastern Ukraine, 14
a mask, 9
a vaccine, 1
my freedom, 2
Crisis rages, 3
My lola, 1
her words, 1
@AaronBastani Missiles, 1
the adoption, 3
Russian aggression, 43
The intl, 1
impunity&amp;blatant disregard, 1
The agression, 1
The Table, 1
America Ukraine, 1
the Ukraine, 395
their Govt, 1
a whistleblower, 3
the whistleblowers, 1
the side, 14
my guest, 2
either Russia, 5
The Ukraine, 28
the price, 24
Ukraine leader, 7
Jewish protests, 1
RussiaUkraineConflict https://t.co/hCTHgFO5uC, 1
The invasion, 8
the debate, 1
Nato membership, 1
the Kippax, 1
the world, 496
the league, 3
The Scousers, 1
the Champions, 1
Sewa International, 2
RSS NGO, 1
frank @NicolaSturgeon, 1
this conflict, 19
your cronies, 1
an affront, 1
the people, 430
Bashtanka city, 1
Mykolaiv region, 1
residential buildings, 4
Which party, 1
individual ministry, 1
each work, 1
Ukraine border, 6
panicking students, 1
no business, 3
the government, 48
the Africans, 4
the trains, 5
that conversation, 1
ordinary citizens, 2
Ukraine help, 2
this message, 2
the hearts, 8
the war, 444
other countries, 70
emergency aid, 4
the border, 56
a total, 2
150 people, 2
the situation, 92
Air support, 1
the Cat, 1
the puppy, 2
her family, 6
more coverage, 2
four agreements, 1
new weapons, 1
the military, 14
their arms, 6
exactly what, 16
this crap, 3
no vehicle, 1
Ukraine update, 3
real information, 2
@ZsoltPalatinus @MuthaMwariama, 1
an alliance, 1
bomb Cuba, 1
an allies, 1
a member, 33
a f*ck, 1
Ben Wallace, 3
the stage, 5
the crowd, 1
its show, 1
a round, 1
The crowd, 1
Ukraine https://t.co/9JnYakdhrl, 1
Lower Fees, 1
the reels, 1
Residential neighbourhoods, 1
Pearson airport, 1
Afgani people, 1
Russia 🇷, 3
a bed, 2
their house, 2
@steon2007 @MikeDeadman3, 1
delete tweet, 1
Russian style, 2
@itzruhama Donate, 1
@zerohedge Putin, 1
a legacy, 1
the end, 66
WW2 Hitler, 1
Iraq Syria, 1
Libya Afghanistan, 1
Proxy Wars, 1
Mass destruction, 3
Widows Orphans, 1
Former @CIA, 1
Regime Change, 1
Lethal Weapons, 1
United States, 7
United Kingdom, 2
many yachts, 1
Ukraine forces, 8
more inflation, 1
the Russians, 118
its borders, 9
